id,name,category,serving_size,calories,carbohydrates,protein,fat,fiber,sugar,sodium,potassium,glycemic_index,diabetes_rating,notes
1,Nasi Lemak,Rice Dish,1 plate,520,62,16,24,4,6,780,390,72,Limit,High carbohydrate rice dish with coconut milk and sambal.
2,Nasi Goreng Kampung,Rice Dish,1 plate,610,78,20,22,5,7,980,430,74,Limit,Fried rice dish usually high in sodium and carbohydrates.
3,Nasi Goreng Cina,Rice Dish,1 plate,570,75,18,19,4,5,860,380,73,Limit,Fried rice with egg and mixed vegetables.
4,Nasi Goreng Pattaya,Rice Dish,1 plate,690,82,24,28,4,8,1100,420,75,Limit,"Fried rice wrapped in egg, usually higher in calories."
5,Nasi Kandar Ayam,Rice Dish,1 plate,760,88,32,30,5,6,1250,520,76,Limit,Rice with curry gravy and fried chicken.
6,Nasi Ayam,Rice Dish,1 plate,640,72,30,24,3,5,950,470,72,Limit,Chicken rice can be high in carbohydrate and sodium.
7,Nasi Kerabu,Rice Dish,1 plate,590,68,25,20,6,7,820,540,70,Moderate,Contains herbs and vegetables but still rice-based.
8,Nasi Dagang,Rice Dish,1 plate,650,78,24,24,4,8,900,490,73,Limit,"Rice with fish curry, higher carbohydrate serving."
9,Nasi Minyak,Rice Dish,1 plate,680,82,18,28,3,4,760,340,74,Limit,Oily rice dish often served with curry.
10,Nasi Biryani Ayam,Rice Dish,1 plate,720,86,32,26,4,6,1050,520,75,Limit,"Spiced rice with chicken, calorie dense."
11,Nasi Tomato,Rice Dish,1 plate,640,80,17,24,3,9,850,390,73,Limit,Tomato rice often served with curry or chicken.
12,Nasi Hujan Panas,Rice Dish,1 plate,610,78,15,22,3,5,720,330,74,Limit,Colorful rice dish usually high in refined carbohydrates.
13,Nasi Ulam,Rice Dish,1 plate,480,60,14,14,7,4,520,520,68,Moderate,"Rice with herbs, comparatively higher fiber."
14,Nasi Campur Ikan Bakar,Rice Dish,1 plate,590,70,32,18,5,5,840,620,71,Moderate,Rice with grilled fish and vegetables.
15,Nasi Paprik Ayam,Rice Dish,1 plate,670,78,30,24,5,10,1150,540,73,Limit,"Rice with saucy chicken stir-fry, often salty."
16,Nasi Daging Merah,Rice Dish,1 plate,730,82,34,28,4,12,1180,560,74,Limit,Rice with sweet-spicy beef sauce.
17,Nasi Kukus Ayam Berempah,Rice Dish,1 plate,700,80,31,28,4,6,1050,500,74,Limit,Steamed rice with fried spiced chicken.
18,Nasi Berlauk Ikan,Rice Dish,1 plate,560,66,28,18,5,5,780,600,70,Moderate,Rice with fish and curry gravy.
19,Nasi Putih,Rice Dish,1 bowl,260,57,5,1,1,0,5,55,73,Limit,Plain white rice is high in fast-digesting carbohydrate.
20,Brown Rice,Rice Dish,1 bowl,230,48,5,2,4,1,10,85,55,Moderate,Higher fiber option compared with white rice.
21,Mee Goreng Mamak,Noodle Dish,1 plate,660,86,22,24,5,10,1250,460,72,Limit,Fried noodles with sweet and salty sauce.
22,Char Kuey Teow,Noodle Dish,1 plate,740,78,24,36,4,7,1150,430,72,Limit,High calorie fried flat noodle dish.
23,Kuey Teow Soup,Noodle Dish,1 bowl,430,62,18,10,3,4,900,350,70,Moderate,Soup noodle with lower fat than fried version.
24,Mee Rebus,Noodle Dish,1 bowl,580,82,18,18,7,12,980,520,71,Limit,Noodle dish with thick gravy.
25,Mee Bandung,Noodle Dish,1 bowl,620,78,25,22,5,13,1050,510,70,Limit,Saucy noodle dish often sweet and salty.
26,Mee Kari,Noodle Dish,1 bowl,650,70,24,30,5,7,1100,500,69,Limit,Curry noodle dish high in fat and sodium.
27,Laksa Penang,Noodle Dish,1 bowl,460,68,20,8,5,10,900,450,69,Moderate,Fish-based noodle soup with tangy broth.
28,Laksa Johor,Noodle Dish,1 bowl,660,78,28,24,6,8,950,540,70,Limit,Thick noodle dish with rich fish gravy.
29,Curry Laksa,Noodle Dish,1 bowl,720,76,26,34,5,8,1220,520,70,Limit,Coconut curry noodle soup.
30,Pan Mee Soup,Noodle Dish,1 bowl,520,68,24,15,5,4,850,460,69,Moderate,Hand-torn noodle soup.
31,Dry Chili Pan Mee,Noodle Dish,1 bowl,650,72,28,28,5,5,980,430,70,Limit,Dry noodle dish with chili oil and minced meat.
32,Hokkien Mee KL,Noodle Dish,1 plate,760,82,26,34,5,9,1300,520,72,Limit,"Dark soy fried noodles, usually oily and salty."
33,Hokkien Mee Penang,Noodle Dish,1 bowl,540,65,28,16,4,6,950,480,69,Moderate,Prawn noodle soup.
34,Wantan Mee Dry,Noodle Dish,1 plate,590,74,24,20,4,7,950,390,71,Limit,Dry egg noodles with char siu and sauce.
35,Wantan Mee Soup,Noodle Dish,1 bowl,490,66,22,12,3,5,880,360,70,Moderate,Noodle soup with dumplings.
36,Maggi Goreng,Noodle Dish,1 plate,680,82,18,30,4,8,1450,360,73,Limit,"Instant noodle fried dish, very high in sodium."
37,Maggi Sup,Noodle Dish,1 bowl,480,62,12,18,3,4,1500,260,72,Limit,"Instant noodle soup, high sodium."
38,Mee Siam,Noodle Dish,1 plate,520,76,16,14,5,13,850,430,70,Limit,Rice vermicelli with sweet-sour sauce.
39,Bihun Goreng,Noodle Dish,1 plate,500,78,14,13,4,6,760,350,72,Limit,Fried rice vermicelli.
40,Bihun Sup,Noodle Dish,1 bowl,390,62,16,7,3,3,780,320,70,Moderate,Rice vermicelli soup.
41,Kuey Teow Goreng,Noodle Dish,1 plate,610,82,18,22,4,7,980,370,73,Limit,Fried flat rice noodles.
42,Yee Mee Soup,Noodle Dish,1 bowl,520,62,18,20,3,4,900,330,70,Limit,Crispy noodles in soup gravy.
43,Claypot Yee Mee,Noodle Dish,1 bowl,640,72,24,25,4,5,1100,420,70,Limit,Claypot noodles with egg and gravy.
44,Asam Laksa,Noodle Dish,1 bowl,470,68,20,9,5,9,900,470,69,Moderate,Fish broth noodle with tamarind.
45,Tom Yam Noodle Soup,Noodle Dish,1 bowl,510,64,24,14,4,7,1150,520,68,Moderate,Spicy sour noodle soup.
46,Roti Canai,Bread,1 piece,320,38,7,16,2,2,520,120,70,Limit,"Flaky flatbread, high refined carbohydrate and fat."
47,Roti Telur,Bread,1 piece,420,42,14,22,2,2,620,190,69,Limit,Flatbread with egg.
48,Roti Bawang,Bread,1 piece,360,40,8,17,2,3,580,150,70,Limit,Flatbread with onion.
49,Roti Sardin,Bread,1 piece,470,44,18,24,3,4,760,300,69,Limit,Flatbread stuffed with sardine.
50,Roti Planta,Bread,1 piece,430,46,7,24,2,6,590,130,70,Limit,Flatbread with margarine/sugar.
51,Roti Tisu,Bread,1 serving,500,72,9,20,2,18,500,140,74,Limit,"Crispy sweet flatbread, high carbohydrate."
