kb_id,chunk_type,title,base_food_name,aliases,category,meal_time,diet_tags,health_tags,budget_myr_per_serving,calories,carbohydrates_g,protein_g,fat_g,fibre_g,sugar_g,sodium_mg,potassium_mg,phosphorus_mg_estimated,iron_mg_estimated,glycemic_index,halal,vegan,lactose_free,soy_free,nut_free,coconut_free,shellfish_free,recommendation,avoid_reason,modifications,cheaper_alternatives,meal_plan_notes,rag_text,source,confidence
kb_00001,food_item,Food facts - Nasi Lemak,Nasi Lemak,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.0,520.0,62.0,16.0,24.0,4.0,6.0,780.0,390.0,208.0,0.7,72.0,yes,yes,yes,yes,yes,no,yes,avoid or occasional,,High carbohydrate rice dish with coconut milk and sambal.,,,"Food item: Nasi Lemak. Aliases: Nasi Lemak. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 520 kcal, 62.0 g carbs, 16.0 g protein, 24.0 g fat, 4.0 g fibre, 6.0 g sugar, 780 mg sodium, 390 mg potassium, estimated 208 mg phosphorus, estimated 0.7 mg iron, GI 72.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free no, shellfish-free yes. Diet/health tags: high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: High carbohydrate rice dish with coconut milk and sambal.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00002,food_item,Food facts - Nasi Goreng Kampung,Nasi Goreng Kampung,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,610.0,78.0,20.0,22.0,5.0,7.0,980.0,430.0,260.0,0.7,74.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Fried rice dish usually high in sodium and carbohydrates.,,,"Food item: Nasi Goreng Kampung. Aliases: Nasi Goreng Kampung. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 610 kcal, 78.0 g carbs, 20.0 g protein, 22.0 g fat, 5.0 g fibre, 7.0 g sugar, 980 mg sodium, 430 mg potassium, estimated 260 mg phosphorus, estimated 0.7 mg iron, GI 74.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Fried rice dish usually high in sodium and carbohydrates.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00003,food_item,Food facts - Nasi Goreng Cina,Nasi Goreng Cina,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,570.0,75.0,18.0,19.0,4.0,5.0,860.0,380.0,234.0,0.7,73.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Fried rice with egg and mixed vegetables.,,,"Food item: Nasi Goreng Cina. Aliases: Nasi Goreng Cina. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 570 kcal, 75.0 g carbs, 18.0 g protein, 19.0 g fat, 4.0 g fibre, 5.0 g sugar, 860 mg sodium, 380 mg potassium, estimated 234 mg phosphorus, estimated 0.7 mg iron, GI 73.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Fried rice with egg and mixed vegetables.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00004,food_item,Food facts - Nasi Goreng Pattaya,Nasi Goreng Pattaya,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,690.0,82.0,24.0,28.0,4.0,8.0,1100.0,420.0,312.0,0.7,75.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,"Fried rice wrapped in egg, usually higher in calories.",,,"Food item: Nasi Goreng Pattaya. Aliases: Nasi Goreng Pattaya. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 690 kcal, 82.0 g carbs, 24.0 g protein, 28.0 g fat, 4.0 g fibre, 8.0 g sugar, 1100 mg sodium, 420 mg potassium, estimated 312 mg phosphorus, estimated 0.7 mg iron, GI 75.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Fried rice wrapped in egg, usually higher in calories.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00005,food_item,Food facts - Nasi Kandar Ayam,Nasi Kandar Ayam,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,760.0,88.0,32.0,30.0,5.0,6.0,1250.0,520.0,416.0,1.1,76.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,Rice with curry gravy and fried chicken.,,,"Food item: Nasi Kandar Ayam. Aliases: Nasi Kandar Ayam. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 760 kcal, 88.0 g carbs, 32.0 g protein, 30.0 g fat, 5.0 g fibre, 6.0 g sugar, 1250 mg sodium, 520 mg potassium, estimated 416 mg phosphorus, estimated 1.1 mg iron, GI 76.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Rice with curry gravy and fried chicken.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00006,food_item,Food facts - Nasi Ayam,Nasi Ayam,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,640.0,72.0,30.0,24.0,3.0,5.0,950.0,470.0,390.0,1.1,72.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,Chicken rice can be high in carbohydrate and sodium.,,,"Food item: Nasi Ayam. Aliases: Nasi Ayam. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 640 kcal, 72.0 g carbs, 30.0 g protein, 24.0 g fat, 3.0 g fibre, 5.0 g sugar, 950 mg sodium, 470 mg potassium, estimated 390 mg phosphorus, estimated 1.1 mg iron, GI 72.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Chicken rice can be high in carbohydrate and sodium.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00007,food_item,Food facts - Nasi Kerabu,Nasi Kerabu,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,590.0,68.0,25.0,20.0,6.0,7.0,820.0,540.0,325.0,0.7,70.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Contains herbs and vegetables but still rice-based.,,,"Food item: Nasi Kerabu. Aliases: Nasi Kerabu. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 590 kcal, 68.0 g carbs, 25.0 g protein, 20.0 g fat, 6.0 g fibre, 7.0 g sugar, 820 mg sodium, 540 mg potassium, estimated 325 mg phosphorus, estimated 0.7 mg iron, GI 70.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Contains herbs and vegetables but still rice-based.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00008,food_item,Food facts - Nasi Dagang,Nasi Dagang,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",7.0,650.0,78.0,24.0,24.0,4.0,8.0,900.0,490.0,312.0,0.7,73.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,"Rice with fish curry, higher carbohydrate serving.",,,"Food item: Nasi Dagang. Aliases: Nasi Dagang. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 650 kcal, 78.0 g carbs, 24.0 g protein, 24.0 g fat, 4.0 g fibre, 8.0 g sugar, 900 mg sodium, 490 mg potassium, estimated 312 mg phosphorus, estimated 0.7 mg iron, GI 73.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Rice with fish curry, higher carbohydrate serving.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00009,food_item,Food facts - Nasi Minyak,Nasi Minyak,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,680.0,82.0,18.0,28.0,3.0,4.0,760.0,340.0,234.0,0.7,74.0,yes,yes,yes,yes,yes,yes,yes,avoid or occasional,,Oily rice dish often served with curry.,,,"Food item: Nasi Minyak. Aliases: Nasi Minyak. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 680 kcal, 82.0 g carbs, 18.0 g protein, 28.0 g fat, 3.0 g fibre, 4.0 g sugar, 760 mg sodium, 340 mg potassium, estimated 234 mg phosphorus, estimated 0.7 mg iron, GI 74.0. Suitability flags: halal yes, vegan yes, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, moderate protein, very high sodium, high potassium, moderate phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Oily rice dish often served with curry.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
kb_00010,food_item,Food facts - Nasi Biryani Ayam,Nasi Biryani Ayam,,Rice Dish,,"halal, Malaysian, general food","high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source",6.5,720.0,86.0,32.0,26.0,4.0,6.0,1050.0,520.0,416.0,1.1,75.0,yes,no,yes,yes,yes,yes,yes,avoid or occasional,,"Spiced rice with chicken, calorie dense.",,,"Food item: Nasi Biryani Ayam. Aliases: Nasi Biryani Ayam. Category: Rice Dish. Serving: 1 plate. Estimated nutrition: 720 kcal, 86.0 g carbs, 32.0 g protein, 26.0 g fat, 4.0 g fibre, 6.0 g sugar, 1050 mg sodium, 520 mg potassium, estimated 416 mg phosphorus, estimated 1.1 mg iron, GI 75.0. Suitability flags: halal yes, vegan no, lactose-free yes, soy-free yes, nut-free yes, coconut-free yes, shellfish-free yes. Diet/health tags: high carbohydrate, high protein, very high sodium, high potassium, high phosphorus, avoid or occasional, limit or modify, limit for CKD unless clinician approves, low purine choice, not a main iron source. Practical advice: Spiced rice with chicken, calorie dense.",generated prototype KB based on uploaded food data and MDG principles,prototype_estimate
